fecha,sensor_id,ambiente,pm1_ugm3,pm25_ugm3,pm10_ugm3
2024-06-26 16:00:00,26,INDOOR,29.875,46.6458,59.0417
2026-07-25 17:00:00,27,INDOOR,3.0,4.2,6.0
2026-06-04 09:00:00,28,INDOOR,35.0,33.7,64.0
2026-06-04 09:00:00,29,INDOOR,33.0,36.1,68.0
2026-06-04 09:00:00,30,INDOOR,30.0,30.1,52.0
2026-09-24 01:00:00,31,INDOOR,1.0,0.55,2.5
2026-09-24 01:00:00,32,INDOOR,20.0526,28.9211,33.2632
2026-06-04 09:00:00,33,INDOOR,30.0,31.9,59.0
2026-06-04 08:00:00,34,OUTDOOR,21.0,25.9,34.0
2026-06-04 08:00:00,35,OUTDOOR,25.0,31.6,44.0
2026-06-04 08:00:00,36,OUTDOOR,20.5,23.6,33.0
2026-04-14 11:00:00,37,OUTDOOR,12.0,18.5,21.5
2026-06-04 13:00:00,38,OUTDOOR,10.0,13.8,13.0
2026-09-24 01:00:00,39,OUTDOOR,1.5,2.35,3.5
2026-06-04 08:00:00,40,OUTDOOR,21.0,24.7,34.0
